=== Recall Variances ===
Sample 0: Variance = 0.011008230452674902
Sample 1: Variance = 0.08645404663923183
Sample 2: Variance = 0.01923868312757202
Sample 3: Variance = 0.0661522633744856
Sample 4: Variance = 0.048868312757201646
Sample 5: Variance = 0.001543209876543209
Sample 6: Variance = 0.08028120713305897
Sample 7: Variance = 0.1420096021947874
Sample 8: Variance = 0.11265432098765432
Sample 9: Variance = 0.03172153635116598
Sample 10: Variance = 0.03964334705075446
Sample 11: Variance = 0.0015089163237311377
Sample 12: Variance = 0.061213991769547324
Sample 13: Variance = 0.052846364883401914
Sample 14: Variance = 0.0012345679012345694
Sample 15: Variance = 0.03583676268861455
Sample 16: Variance = 0.04101508916323732
Sample 17: Variance = 0.00288065843621399
Sample 18: Variance = 0.1111111111111111
Sample 19: Variance = 0.09684499314128943
Sample 20: Variance = 0.1529835390946502
Sample 21: Variance = 0.09314128943758572
Sample 22: Variance = 0.006310013717421122
Sample 23: Variance = 0.0021947873799725627
Sample 24: Variance = 0.0020919067215363495
Sample 25: Variance = 0.0009945130315500695
Sample 26: Variance = 0.05847050754458161
Sample 27: Variance = 0.0021947873799725622
Sample 28: Variance = 0.002743484224965705
Sample 29: Variance = 0.05558984910836763
Sample 30: Variance = 0.04530178326474622
Sample 31: Variance = 0.029526748971193412
Sample 32: Variance = 0.07489711934156379
Sample 33: Variance = 0.03789437585733882
Sample 34: Variance = 0.11742112482853223
Sample 35: Variance = 0.14777091906721537
Sample 36: Variance = 0.08713991769547326
Sample 37: Variance = 0.0019204389574759924
Sample 38: Variance = 0.046090534979423864
Sample 39: Variance = 0.015123456790123455
Sample 40: Variance = 0.11210562414266118
Sample 41: Variance = 0.18864883401920438
Sample 42: Variance = 0.020884773662551447
Sample 43: Variance = 0.04197530864197531
Sample 44: Variance = 0.04269547325102882
Sample 45: Variance = 0.0007201646090534957
Sample 46: Variance = 0.08641975308641975
Sample 47: Variance = 0.03443072702331962
Sample 48: Variance = 0.04403292181069958
Sample 49: Variance = 0.15075445816186556
Sample 50: Variance = 0.01855281207133059
Sample 51: Variance = 0.041289437585733876
Sample 52: Variance = 0.048696844993141294
Sample 53: Variance = 0.09314128943758572
Sample 54: Variance = 0.0739368998628258
Sample 55: Variance = 0.05404663923182442
Sample 56: Variance = 0.0410150891632373
Sample 57: Variance = 0.004423868312757197
Sample 58: Variance = 0.049417009602194785
Sample 59: Variance = 0.13525377229080932
Sample 60: Variance = 0.0012345679012345674
Sample 61: Variance = 0.03305898491083675
Sample 62: Variance = 0.014026063100137175
Sample 63: Variance = 0.007407407407407406
Sample 64: Variance = 0.08439643347050756
Sample 65: Variance = 0.09344993141289439
Sample 66: Variance = 0.0
Sample 67: Variance = 0.024725651577503432
Sample 68: Variance = 0.08010973936899862
Sample 69: Variance = 0.028120713305898493
Sample 70: Variance = 0.07506858710562414
Sample 71: Variance = 0.018381344307270224
Sample 72: Variance = 0.0561042524005487
Sample 73: Variance = 0.015397805212620031
Sample 74: Variance = 0.09331275720164608
Sample 75: Variance = 0.13662551440329218
Sample 76: Variance = 0.07969821673525379
Sample 77: Variance = 0.0012345679012345664
Sample 78: Variance = 0.002194787379972563
Sample 79: Variance = 0.02962962962962964
Sample 80: Variance = 0.04735939643347051
Sample 81: Variance = 0.08741426611796982
Sample 82: Variance = 0.06941015089163237
Sample 83: Variance = 0.05363511659807955
Sample 84: Variance = 0.03580246913580246
Sample 85: Variance = 0.027469135802469128
Sample 86: Variance = 0.11388888888888887
Sample 87: Variance = 0.004423868312757201
Sample 88: Variance = 0.08919753086419753
Sample 89: Variance = 0.1233196159122085
Sample 90: Variance = 0.0012345679012345664
Sample 91: Variance = 0.15720164609053497
Sample 92: Variance = 0.01992455418381344
Sample 93: Variance = 0.06944444444444445
Sample 94: Variance = 0.09742798353909465
Sample 95: Variance = 0.10222908093278463
Sample 96: Variance = 0.002743484224965703
Sample 97: Variance = 0.04941700960219478
Sample 98: Variance = 0.027743484224965708
Sample 99: Variance = 0.06776406035665296
Sample 100: Variance = 0.07753772290809326
Sample 101: Variance = 0.049519890260631
Sample 102: Variance = 0.0410150891632373
Sample 103: Variance = 0.08902606310013719
Sample 104: Variance = 0.0665294924554184
Sample 105: Variance = 0.06502057613168725
Sample 106: Variance = 0.09451303155006859
Sample 107: Variance = 0.1023662551440329
Sample 108: Variance = 0.04032921810699588
Sample 109: Variance = 0.017969821673525375
Sample 110: Variance = 0.09427297668038409
Sample 111: Variance = 0.0027777777777777753
Sample 112: Variance = 0.025411522633744858
Sample 113: Variance = 0.005795610425240054
