=== Recall Variances ===
Sample 0: Variance = 0.025925925925925932
Sample 1: Variance = 0.00030864197530864105
Sample 2: Variance = 0.0
Sample 3: Variance = 0.0028806584362139945
Sample 4: Variance = 0.06666666666666668
Sample 5: Variance = 0.0007201646090534987
Sample 6: Variance = 0.0
Sample 7: Variance = 0.0008230452674897128
Sample 8: Variance = 0.0077160493827160455
Sample 9: Variance = 0.00030864197530864224
Sample 10: Variance = 0.0008573388203017806
Sample 11: Variance = 0.0
Sample 12: Variance = 0.0
Sample 13: Variance = 0.002880658436213993
Sample 14: Variance = 0.0
Sample 15: Variance = 1.3695501826753678e-32
Sample 16: Variance = 0.0019204389574759928
Sample 17: Variance = 0.07969821673525378
Sample 18: Variance = 0.0
Sample 19: Variance = 0.09742798353909464
Sample 20: Variance = 0.03072702331961591
Sample 21: Variance = 0.0008230452674897127
Sample 22: Variance = 0.0
Sample 23: Variance = 0.0
Sample 24: Variance = 1.3695501826753678e-32
Sample 25: Variance = 0.00030864197530864224
Sample 26: Variance = 0.0
Sample 27: Variance = 0.00030864197530864224
Sample 28: Variance = 0.0
Sample 29: Variance = 0.0007201646090534986
Sample 30: Variance = 0.0
Sample 31: Variance = 0.0
Sample 32: Variance = 0.014266117969821671
Sample 33: Variance = 0.0008573388203017806
Sample 34: Variance = 0.0005486968449931419
Sample 35: Variance = 0.021570644718792872
Sample 36: Variance = 0.04883401920438958
Sample 37: Variance = 0.0008230452674897094
Sample 38: Variance = 0.0
Sample 39: Variance = 0.026886145404663924
Sample 40: Variance = 0.0
Sample 41: Variance = 0.15229766803840877
Sample 42: Variance = 0.003978052126200276
Sample 43: Variance = 0.07506858710562415
Sample 44: Variance = 0.000308641975308641
Sample 45: Variance = 1.3695501826753678e-32
Sample 46: Variance = 0.0
Sample 47: Variance = 0.0
Sample 48: Variance = 0.0
Sample 49: Variance = 0.003429355281207129
Sample 50: Variance = 1.3695501826753678e-32
Sample 51: Variance = 0.0
Sample 52: Variance = 0.09194101508916323
Sample 53: Variance = 0.05486968449931413
Sample 54: Variance = 0.03844307270233195
Sample 55: Variance = 0.001543209876543209
Sample 56: Variance = 0.0
Sample 57: Variance = 0.0021947873799725627
Sample 58: Variance = 0.10291495198902606
Sample 59: Variance = 0.04513031550068587
Sample 60: Variance = 0.015123456790123453
Sample 61: Variance = 0.0
Sample 62: Variance = 0.0005486968449931417
Sample 63: Variance = 0.0
Sample 64: Variance = 0.02088477366255144
Sample 65: Variance = 0.0012345679012345664
Sample 66: Variance = 0.0
Sample 67: Variance = 0.0
Sample 68: Variance = 0.019341563786008223
Sample 69: Variance = 0.004938271604938271
Sample 70: Variance = 0.01975308641975309
Sample 71: Variance = 0.0005486968449931419
Sample 72: Variance = 0.0014060356652949237
Sample 73: Variance = 1.3695501826753678e-32
Sample 74: Variance = 0.035116598079561044
Sample 75: Variance = 0.03292181069958847
Sample 76: Variance = 0.14897119341563786
Sample 77: Variance = 0.002229080932784634
Sample 78: Variance = 0.0
Sample 79: Variance = 1.3695501826753678e-32
Sample 80: Variance = 0.004938271604938271
Sample 81: Variance = 0.0
Sample 82: Variance = 0.0
Sample 83: Variance = 0.0
Sample 84: Variance = 0.000308641975308641
Sample 85: Variance = 0.0012345679012345674
Sample 86: Variance = 0.0
Sample 87: Variance = 0.0
Sample 88: Variance = 0.0
Sample 89: Variance = 0.0
Sample 90: Variance = 0.0
Sample 91: Variance = 0.02623456790123456
Sample 92: Variance = 1.3695501826753678e-32
Sample 93: Variance = 0.0
Sample 94: Variance = 0.0007201646090534987
Sample 95: Variance = 0.035116598079561044
Sample 96: Variance = 0.0
Sample 97: Variance = 0.0
Sample 98: Variance = 0.004663923182441698
Sample 99: Variance = 0.03511659807956105
Sample 100: Variance = 0.0019204389574759928
Sample 101: Variance = 0.0007201646090534986
Sample 102: Variance = 0.019513031550068588
Sample 103: Variance = 0.0
Sample 104: Variance = 0.000994513031550068
Sample 105: Variance = 0.029526748971193412
Sample 106: Variance = 0.0005486968449931417
Sample 107: Variance = 0.0007201646090534957
Sample 108: Variance = 0.015912208504801094
Sample 109: Variance = 0.0
Sample 110: Variance = 0.0
Sample 111: Variance = 0.00030864197530864105
Sample 112: Variance = 0.022256515775034298
Sample 113: Variance = 0.0
Sample 114: Variance = 0.0008230452674897127
Sample 115: Variance = 0.0
Sample 116: Variance = 0.06450617283950617
Sample 117: Variance = 0.019753086419753086
Sample 118: Variance = 0.0
Sample 119: Variance = 0.0
Sample 120: Variance = 0.003292181069958844
Sample 121: Variance = 0.001508916323731136
Sample 122: Variance = 0.0
Sample 123: Variance = 0.001543209876543209
Sample 124: Variance = 0.006035665294924552
Sample 125: Variance = 0.09958847736625513
Sample 126: Variance = 0.0
Sample 127: Variance = 0.015123456790123458
Sample 128: Variance = 0.01923868312757202
Sample 129: Variance = 0.00030864197530864224
Sample 130: Variance = 0.04444444444444443
Sample 131: Variance = 0.003429355281207129
Sample 132: Variance = 0.046090534979423864
Sample 133: Variance = 0.1551440329218107
Sample 134: Variance = 0.0
Sample 135: Variance = 0.0
Sample 136: Variance = 0.02335390946502057
Sample 137: Variance = 0.019753086419753086
Sample 138: Variance = 1.3695501826753678e-32
Sample 139: Variance = 0.0008230452674897128
Sample 140: Variance = 0.013717421124828533
Sample 141: Variance = 0.004835390946502058
Sample 142: Variance = 0.029115226337448556
Sample 143: Variance = 0.00030864197530864224
Sample 144: Variance = 0.0
Sample 145: Variance = 0.011145404663923181
Sample 146: Variance = 0.03511659807956104
Sample 147: Variance = 0.003429355281207129
Sample 148: Variance = 0.01728395061728395
Sample 149: Variance = 1.3695501826753678e-32
Sample 150: Variance = 0.0
Sample 151: Variance = 0.0027777777777777766
Sample 152: Variance = 0.02966392318244171
