=== Recall Variances ===
Sample 0: Variance = 0.029629629629629624
Sample 1: Variance = 0.016769547325102885
Sample 2: Variance = 0.0
Sample 3: Variance = 0.0027777777777777783
Sample 4: Variance = 0.06296296296296296
Sample 5: Variance = 0.0005486968449931417
Sample 6: Variance = 1.3695501826753678e-32
Sample 7: Variance = 0.08316186556927298
Sample 8: Variance = 0.0020576131687242817
Sample 9: Variance = 0.0005486968449931397
Sample 10: Variance = 0.00030864197530864224
Sample 11: Variance = 0.0
Sample 12: Variance = 0.0
Sample 13: Variance = 0.013065843621399183
Sample 14: Variance = 0.00895061728395062
Sample 15: Variance = 0.019753086419753093
Sample 16: Variance = 0.0
Sample 17: Variance = 1.3695501826753678e-32
Sample 18: Variance = 0.002194787379972565
Sample 19: Variance = 0.011694101508916324
Sample 20: Variance = 0.04444444444444443
Sample 21: Variance = 0.022942386831275727
Sample 22: Variance = 0.002880658436213989
Sample 23: Variance = 0.0
Sample 24: Variance = 0.0003086419753086423
Sample 25: Variance = 0.0
Sample 26: Variance = 0.0
Sample 27: Variance = 1.3695501826753678e-32
Sample 28: Variance = 0.0008230452674897127
Sample 29: Variance = 0.0032921810699588472
Sample 30: Variance = 0.0005486968449931417
Sample 31: Variance = 0.018381344307270227
Sample 32: Variance = 0.0077160493827160516
Sample 33: Variance = 0.0
Sample 34: Variance = 1.3695501826753678e-32
Sample 35: Variance = 0.0003086419753086423
Sample 36: Variance = 0.09958847736625516
Sample 37: Variance = 0.0
Sample 38: Variance = 0.0
Sample 39: Variance = 0.0
Sample 40: Variance = 0.015912208504801094
Sample 41: Variance = 0.02935528120713305
Sample 42: Variance = 0.004938271604938271
Sample 43: Variance = 0.0
Sample 44: Variance = 0.0
Sample 45: Variance = 1.3695501826753678e-32
Sample 46: Variance = 0.0
Sample 47: Variance = 0.08398491083676268
Sample 48: Variance = 0.019753086419753086
Sample 49: Variance = 0.003292181069958844
Sample 50: Variance = 0.0027777777777777766
Sample 51: Variance = 0.0
Sample 52: Variance = 0.005624142661179697
Sample 53: Variance = 0.014951989026063102
Sample 54: Variance = 0.00493827160493827
Sample 55: Variance = 0.0
Sample 56: Variance = 0.000308641975308641
Sample 57: Variance = 0.00030864197530864224
Sample 58: Variance = 0.022668038408779144
Sample 59: Variance = 0.0
Sample 60: Variance = 0.0
Sample 61: Variance = 0.0
Sample 62: Variance = 0.0005486968449931417
Sample 63: Variance = 0.00030864197530864224
Sample 64: Variance = 0.058333333333333334
Sample 65: Variance = 0.21608367626886146
Sample 66: Variance = 0.0
Sample 67: Variance = 0.0
Sample 68: Variance = 0.0
Sample 69: Variance = 0.0034293552812071364
Sample 70: Variance = 0.015397805212620028
