=== Recall Variances ===
Sample 0: Variance = 0.0027777777777777766
Sample 1: Variance = 0.058333333333333334
Sample 2: Variance = 0.0
Sample 3: Variance = 0.0
Sample 4: Variance = 0.056241426611796985
Sample 5: Variance = 0.0005486968449931396
Sample 6: Variance = 0.1585733882030178
Sample 7: Variance = 0.06944444444444443
Sample 8: Variance = 0.08028120713305899
Sample 9: Variance = 0.0016803840877914937
Sample 10: Variance = 0.03775720164609054
Sample 11: Variance = 0.003052126200274345
Sample 12: Variance = 0.0
Sample 13: Variance = 0.07119341563786008
Sample 14: Variance = 0.0005486968449931417
Sample 15: Variance = 0.0007201646090534971
Sample 16: Variance = 0.0
Sample 17: Variance = 1.3695501826753678e-32
Sample 18: Variance = 0.052160493827160495
Sample 19: Variance = 0.06666666666666667
Sample 20: Variance = 0.038957475994513026
Sample 21: Variance = 0.011111111111111108
Sample 22: Variance = 0.008230452674897117
Sample 23: Variance = 0.011111111111111112
Sample 24: Variance = 0.0
Sample 25: Variance = 0.0003086419753086423
Sample 26: Variance = 0.1167352537722908
Sample 27: Variance = 0.002194787379972567
Sample 28: Variance = 0.0016803840877914944
Sample 29: Variance = 0.004938271604938271
Sample 30: Variance = 0.0012345679012345677
Sample 31: Variance = 0.04471879286694101
Sample 32: Variance = 0.0
Sample 33: Variance = 0.07942386831275722
Sample 34: Variance = 0.0
Sample 35: Variance = 0.05833333333333332
Sample 36: Variance = 0.025925925925925925
Sample 37: Variance = 0.0
Sample 38: Variance = 0.035116598079561044
Sample 39: Variance = 0.00771604938271605
Sample 40: Variance = 0.09410150891632373
Sample 41: Variance = 0.14955418381344301
Sample 42: Variance = 0.04475308641975309
Sample 43: Variance = 0.0012345679012345677
Sample 44: Variance = 0.0077160493827160516
Sample 45: Variance = 0.00030864197530864105
Sample 46: Variance = 0.24777091906721532
Sample 47: Variance = 0.0473593964334705
Sample 48: Variance = 0.019753086419753083
Sample 49: Variance = 0.0
Sample 50: Variance = 0.0005486968449931408
Sample 51: Variance = 0.05216049382716049
Sample 52: Variance = 0.04063786008230453
Sample 53: Variance = 0.024725651577503425
Sample 54: Variance = 0.044753086419753084
Sample 55: Variance = 3.4238754566884194e-33
Sample 56: Variance = 0.015123456790123455
Sample 57: Variance = 0.06117969821673524
Sample 58: Variance = 0.04993141289437585
Sample 59: Variance = 0.05092592592592593
Sample 60: Variance = 0.00030864197530864224
Sample 61: Variance = 0.0
Sample 62: Variance = 0.025925925925925925
Sample 63: Variance = 0.05147462277091907
Sample 64: Variance = 0.13772290809327845
Sample 65: Variance = 0.06666666666666668
Sample 66: Variance = 0.0
Sample 67: Variance = 0.05061728395061728
Sample 68: Variance = 0.03580246913580246
Sample 69: Variance = 0.0
Sample 70: Variance = 0.015123456790123455
Sample 71: Variance = 0.013717421124828521
Sample 72: Variance = 0.06666666666666668
Sample 73: Variance = 0.0
Sample 74: Variance = 0.05637860082304527
Sample 75: Variance = 0.11604938271604939
Sample 76: Variance = 0.07901234567901234
Sample 77: Variance = 0.0005486968449931397
Sample 78: Variance = 0.004149519890260628
Sample 79: Variance = 0.0
Sample 80: Variance = 0.025925925925925925
Sample 81: Variance = 0.07901234567901233
Sample 82: Variance = 0.04969135802469135
Sample 83: Variance = 0.019753086419753083
Sample 84: Variance = 0.017318244170096024
Sample 85: Variance = 0.03648834019204389
Sample 86: Variance = 0.025000000000000005
Sample 87: Variance = 0.00877914951989026
Sample 88: Variance = 0.008264746227709192
Sample 89: Variance = 0.09907407407407406
Sample 90: Variance = 0.003292181069958844
Sample 91: Variance = 0.1234567901234568
Sample 92: Variance = 0.0
Sample 93: Variance = 0.08055555555555555
Sample 94: Variance = 0.0
Sample 95: Variance = 0.03981481481481482
Sample 96: Variance = 0.002880658436213989
Sample 97: Variance = 0.06502057613168725
Sample 98: Variance = 0.0023662551440329226
Sample 99: Variance = 0.027572016460905343
Sample 100: Variance = 0.05833333333333332
Sample 101: Variance = 0.039403292181069964
Sample 102: Variance = 0.04351851851851851
Sample 103: Variance = 0.024999999999999998
Sample 104: Variance = 0.14818244170096023
Sample 105: Variance = 0.019753086419753083
Sample 106: Variance = 0.1585733882030178
Sample 107: Variance = 0.13199588477366256
Sample 108: Variance = 0.08055555555555555
Sample 109: Variance = 0.0
Sample 110: Variance = 0.011111111111111108
Sample 111: Variance = 0.006035665294924555
Sample 112: Variance = 0.0
Sample 113: Variance = 0.03501371742112483
Sample 114: Variance = 0.0021947873799725627
Sample 115: Variance = 0.10823045267489712
Sample 116: Variance = 0.04814814814814815
Sample 117: Variance = 0.04444444444444446
Sample 118: Variance = 0.0
Sample 119: Variance = 0.0
Sample 120: Variance = 0.0
Sample 121: Variance = 0.05627572016460905
Sample 122: Variance = 0.002880658436213993
Sample 123: Variance = 0.06666666666666668
Sample 124: Variance = 0.0308641975308642
Sample 125: Variance = 0.0
Sample 126: Variance = 0.0028806584362139885
Sample 127: Variance = 0.04471879286694101
Sample 128: Variance = 0.0
Sample 129: Variance = 0.08422496570644719
Sample 130: Variance = 0.0
Sample 131: Variance = 0.0055212620027434815
Sample 132: Variance = 0.0
Sample 133: Variance = 0.015123456790123455
Sample 134: Variance = 0.16889574759945133
Sample 135: Variance = 0.011111111111111112
Sample 136: Variance = 0.026886145404663924
Sample 137: Variance = 0.0005486968449931417
Sample 138: Variance = 0.1606652949245542
Sample 139: Variance = 0.0
Sample 140: Variance = 0.0
Sample 141: Variance = 0.0
Sample 142: Variance = 0.04266117969821675
Sample 143: Variance = 0.02335390946502058
Sample 144: Variance = 0.02208504801097394
Sample 145: Variance = 0.0005486968449931406
Sample 146: Variance = 0.05061728395061727
Sample 147: Variance = 0.0
Sample 148: Variance = 0.0
Sample 149: Variance = 0.12294238683127572
Sample 150: Variance = 0.12743484224965707
Sample 151: Variance = 0.04255829903978053
Sample 152: Variance = 0.14022633744855964
Sample 153: Variance = 0.05833333333333332
Sample 154: Variance = 0.038957475994513026
Sample 155: Variance = 0.0007201646090534986
Sample 156: Variance = 0.031550068587105635
Sample 157: Variance = 0.0
Sample 158: Variance = 0.018141289437585733
Sample 159: Variance = 0.0008573388203017841
Sample 160: Variance = 0.0
Sample 161: Variance = 0.009910836762688613
Sample 162: Variance = 0.006481481481481479
Sample 163: Variance = 0.06255144032921811
Sample 164: Variance = 3.4238754566884194e-33
Sample 165: Variance = 0.0
Sample 166: Variance = 0.08919753086419753
Sample 167: Variance = 0.08919753086419753
Sample 168: Variance = 0.05833333333333332
Sample 169: Variance = 0.03772290809327846
Sample 170: Variance = 0.0
Sample 171: Variance = 0.0
Sample 172: Variance = 0.07901234567901233
Sample 173: Variance = 0.00771604938271605
Sample 174: Variance = 0.02688614540466392
Sample 175: Variance = 0.009636488340192047
Sample 176: Variance = 0.0352880658436214
Sample 177: Variance = 0.0
Sample 178: Variance = 0.008950617283950614
Sample 179: Variance = 0.09907407407407405
Sample 180: Variance = 0.025925925925925925
Sample 181: Variance = 0.0
Sample 182: Variance = 0.0
Sample 183: Variance = 0.060493827160493834
Sample 184: Variance = 0.0
Sample 185: Variance = 0.0
Sample 186: Variance = 0.015123456790123455
Sample 187: Variance = 0.019753086419753086
Sample 188: Variance = 0.0
Sample 189: Variance = 1.3695501826753678e-32
Sample 190: Variance = 0.0
Sample 191: Variance = 0.0012345679012345664
Sample 192: Variance = 0.08055555555555556
Sample 193: Variance = 0.24224965706447188
Sample 194: Variance = 0.026886145404663924
Sample 195: Variance = 0.0
Sample 196: Variance = 0.043244170096021946
Sample 197: Variance = 0.04444444444444445
Sample 198: Variance = 0.0003086419753086416
Sample 199: Variance = 0.0005486968449931417
Sample 200: Variance = 1.3695501826753678e-32
Sample 201: Variance = 0.06532921810699589
Sample 202: Variance = 0.06666666666666667
Sample 203: Variance = 0.014574759945130316
Sample 204: Variance = 0.0
Sample 205: Variance = 0.025925925925925932
Sample 206: Variance = 0.0
Sample 207: Variance = 0.014026063100137175
Sample 208: Variance = 0.0
Sample 209: Variance = 3.4238754566884194e-33
Sample 210: Variance = 0.015912208504801094
Sample 211: Variance = 0.0
Sample 212: Variance = 0.04197530864197532
Sample 213: Variance = 0.12486282578875169
Sample 214: Variance = 0.005486968449931412
Sample 215: Variance = 0.002194787379972565
Sample 216: Variance = 0.0003086419753086423
Sample 217: Variance = 0.0502400548696845
Sample 218: Variance = 0.04444444444444445
Sample 219: Variance = 0.003429355281207129
Sample 220: Variance = 0.01975308641975309
Sample 221: Variance = 0.02335390946502057
Sample 222: Variance = 0.01800411522633745
Sample 223: Variance = 0.058333333333333334
Sample 224: Variance = 0.05061728395061728
Sample 225: Variance = 0.00030864197530864224
Sample 226: Variance = 0.03511659807956104
Sample 227: Variance = 0.2378600823045267
Sample 228: Variance = 0.05267489711934156
Sample 229: Variance = 0.00030864197530864105
Sample 230: Variance = 0.0007201646090534986
Sample 231: Variance = 0.03511659807956104
Sample 232: Variance = 0.0
Sample 233: Variance = 0.0
Sample 234: Variance = 0.0007201646090534986
Sample 235: Variance = 0.06820987654320988
Sample 236: Variance = 0.01989026063100137
Sample 237: Variance = 0.08604252400548697
Sample 238: Variance = 0.0
Sample 239: Variance = 0.019753086419753086
Sample 240: Variance = 0.05833333333333332
