=== Recall Variances ===
Sample 0: Variance = 0.12225651577503431
Sample 1: Variance = 0.09056927297668038
Sample 2: Variance = 0.0110082304526749
Sample 3: Variance = 0.04334705075445817
Sample 4: Variance = 0.043518518518518526
Sample 5: Variance = 0.0008573388203017841
Sample 6: Variance = 0.03583676268861455
Sample 7: Variance = 0.000994513031550067
Sample 8: Variance = 0.050068587105624146
Sample 9: Variance = 0.07489711934156379
Sample 10: Variance = 0.014437585733882029
Sample 11: Variance = 0.029355281207133058
Sample 12: Variance = 0.0005486968449931419
Sample 13: Variance = 0.027572016460905353
Sample 14: Variance = 0.04351851851851851
Sample 15: Variance = 0.0021947873799725657
Sample 16: Variance = 0.034327846364883396
Sample 17: Variance = 0.06392318244170096
Sample 18: Variance = 0.07325102880658436
Sample 19: Variance = 0.12016460905349795
Sample 20: Variance = 0.028257887517146776
Sample 21: Variance = 0.08713991769547325
Sample 22: Variance = 0.031001371742112482
Sample 23: Variance = 0.016495198902606308
Sample 24: Variance = 0.01989026063100137
Sample 25: Variance = 0.002194787379972563
Sample 26: Variance = 0.0015089163237311399
Sample 27: Variance = 0.05816186556927297
Sample 28: Variance = 0.0019204389574759928
Sample 29: Variance = 0.007167352537722908
Sample 30: Variance = 0.08491083676268862
Sample 31: Variance = 0.10661865569272977
Sample 32: Variance = 0.04667352537722908
Sample 33: Variance = 0.03021262002743484
Sample 34: Variance = 0.05380658436213991
Sample 35: Variance = 0.11508916323731137
Sample 36: Variance = 0.17777777777777778
Sample 37: Variance = 0.06502057613168725
Sample 38: Variance = 0.0020919067215363508
Sample 39: Variance = 0.019753086419753086
Sample 40: Variance = 0.033607681755829906
Sample 41: Variance = 0.08573388203017833
Sample 42: Variance = 0.08233882030178324
Sample 43: Variance = 0.024142661179698217
Sample 44: Variance = 0.08381344307270233
Sample 45: Variance = 0.018827160493827166
Sample 46: Variance = 0.0008573388203017806
Sample 47: Variance = 0.002914951989026062
Sample 48: Variance = 0.04993141289437586
Sample 49: Variance = 0.052674897119341556
Sample 50: Variance = 0.01923868312757201
Sample 51: Variance = 0.014711934156378599
Sample 52: Variance = 0.0851851851851852
Sample 53: Variance = 0.1008230452674897
Sample 54: Variance = 0.0510631001371742
Sample 55: Variance = 0.11124828532235936
Sample 56: Variance = 0.07146776406035665
Sample 57: Variance = 0.005349794238683126
Sample 58: Variance = 0.004423868312757198
Sample 59: Variance = 0.10730452674897119
Sample 60: Variance = 0.0015089163237311377
Sample 61: Variance = 0.07530864197530866
Sample 62: Variance = 0.0
Sample 63: Variance = 0.00922496570644719
Sample 64: Variance = 0.002914951989026062
Sample 65: Variance = 0.11416323731138547
Sample 66: Variance = 0.14214677640603565
Sample 67: Variance = 0.001543209876543209
Sample 68: Variance = 0.021124828532235934
Sample 69: Variance = 0.09907407407407405
Sample 70: Variance = 0.03374485596707819
Sample 71: Variance = 0.05679012345679012
Sample 72: Variance = 0.01975308641975308
Sample 73: Variance = 0.1045610425240055
Sample 74: Variance = 0.02678326474622772
Sample 75: Variance = 0.0426954732510288
Sample 76: Variance = 0.15277777777777776
Sample 77: Variance = 0.08439643347050756
Sample 78: Variance = 0.024554183813443074
Sample 79: Variance = 0.0020576131687242774
Sample 80: Variance = 0.11553497942386831
Sample 81: Variance = 0.03717421124828532
