=== Recall Variances ===
Sample 0: Variance = 0.0
Sample 1: Variance = 0.020198902606310014
Sample 2: Variance = 0.0
Sample 3: Variance = 0.004972565157750346
Sample 4: Variance = 0.0
Sample 5: Variance = 0.0
Sample 6: Variance = 0.0028806584362139945
Sample 7: Variance = 0.0
Sample 8: Variance = 0.0
Sample 9: Variance = 0.0021947873799725622
Sample 10: Variance = 0.006893004115226337
Sample 11: Variance = 0.0
Sample 12: Variance = 0.0
Sample 13: Variance = 0.0
Sample 14: Variance = 1.3695501826753678e-32
Sample 15: Variance = 0.0027777777777777744
Sample 16: Variance = 0.0
Sample 17: Variance = 0.04032921810699588
Sample 18: Variance = 1.3695501826753678e-32
Sample 19: Variance = 0.07630315500685872
Sample 20: Variance = 0.0
Sample 21: Variance = 0.0
Sample 22: Variance = 0.0
Sample 23: Variance = 0.0
Sample 24: Variance = 0.0
Sample 25: Variance = 0.0
Sample 26: Variance = 0.0
Sample 27: Variance = 0.019753086419753086
Sample 28: Variance = 0.0
Sample 29: Variance = 0.0
Sample 30: Variance = 0.019753086419753086
Sample 31: Variance = 0.0
Sample 32: Variance = 0.020747599451303153
Sample 33: Variance = 0.03347050754458162
Sample 34: Variance = 0.0
Sample 35: Variance = 0.10373799725651578
Sample 36: Variance = 0.0
Sample 37: Variance = 0.0028806584362139945
Sample 38: Variance = 0.000308641975308641
Sample 39: Variance = 0.0
Sample 40: Variance = 3.4238754566884194e-33
Sample 41: Variance = 0.0
Sample 42: Variance = 0.0
Sample 43: Variance = 0.0008573388203017807
Sample 44: Variance = 0.0012345679012345668
Sample 45: Variance = 0.0
Sample 46: Variance = 0.0008573388203017807
Sample 47: Variance = 0.0
Sample 48: Variance = 0.0
Sample 49: Variance = 0.0
Sample 50: Variance = 0.0
Sample 51: Variance = 0.0021947873799725622
Sample 52: Variance = 0.0005486968449931419
Sample 53: Variance = 0.0021947873799725627
Sample 54: Variance = 0.05267489711934156
Sample 55: Variance = 0.019513031550068588
Sample 56: Variance = 0.0
Sample 57: Variance = 0.0
Sample 58: Variance = 0.00030864197530864224
Sample 59: Variance = 0.0
Sample 60: Variance = 0.0014060356652949235
Sample 61: Variance = 0.0
Sample 62: Variance = 0.0
Sample 63: Variance = 0.0012345679012345692
Sample 64: Variance = 0.0007201646090534987
Sample 65: Variance = 0.019753086419753083
Sample 66: Variance = 0.0
Sample 67: Variance = 0.0
Sample 68: Variance = 0.0
Sample 69: Variance = 1.3695501826753678e-32
Sample 70: Variance = 0.0
Sample 71: Variance = 0.0
Sample 72: Variance = 0.0
Sample 73: Variance = 0.01882716049382716
Sample 74: Variance = 0.0015089163237311362
Sample 75: Variance = 0.0
Sample 76: Variance = 0.0
Sample 77: Variance = 0.0
Sample 78: Variance = 0.00030864197530864105
Sample 79: Variance = 0.0
Sample 80: Variance = 1.3695501826753678e-32
Sample 81: Variance = 0.05486968449931413
Sample 82: Variance = 0.0
Sample 83: Variance = 0.0
Sample 84: Variance = 0.019753086419753083
Sample 85: Variance = 0.0028806584362139885
Sample 86: Variance = 0.0
